index, name, representative, domain, area, website,
"113"," 라이프오브더칠드런"," 권호경"," 아동결연, 무료급식, 식수지원 등"," 에티오피아, 케냐, 라이베리아, 과테말라"," http://www.lifeofthechildren.org",""
"114"," 호이"," 김서형"," 초등교사 교수역량강화, 세계시민교육"," 우간다"," http://www.hopeisedu.org",""
"115"," 컨선월드와이드한국"," 이준모"," 영양, 보건 사업"," 니제르, 방글라데시, 에티오피아"," http://concern.or.kr/#1",""
"116"," 올마이키즈"," 김영욱"," 아동결연, 교육인프라 지원, 급식지원 등"," 네팔, 말라위, 방글라데시 등 23개국"," http://www.allmykids.or.kr",""
"117"," 굿월드자선은행"," 양종헌"," 데이케어센터"," 필리핀"," http://www.goodworld.kr",""
"118"," 굿파머스"," 장경국"," 가정양계사업, 마을농가 자립지원"," 캄보디아, 방글라데시, 부르키나파소"," http://www.good-farmers.org",""
"119"," 더램프"," 이영철"," 식수개발, 위생개선"," 스리랑카, 라오스"," http://www.thelamp.kr",""
"120"," 사랑글로벌프렌즈"," 오정현"," 장애인학교, 문화센터, 도서관운영"," 키르키즈스탄, 블라디보스톡, 네팔"," http://www.sgfriends.or.kr/",""
"121"," 아드라코리아"," 황춘광"," 해외아동결연, 네발 식수개발 지원 및 보건위생교육, 방글라데시 데이케어센터"," 네팔, 방글라데시, 라오스"," http://www.adra.or.kr",""
"122"," 세계봉공재단"," 한정순"," 배분사업, 긴급구호"," 네팔, 스와질랜드, 방글라데시"," http://www.wbgf.or.kr",""
"123"," 국제푸른나무"," 곽수광"," 역량강화, 기술학교 등"," 마다가스카르"," http://www.gti.or.kr/",""
"124"," 미래희망기구"," 정진환"," 세계시민교육"," 국내"," http://www.hopetofuture.org",""
"125"," 지구촌구호개발연대(GRAS)"," 전병금"," 긴급구호, 인도적지원"," 방글라데시"," http://www.gras.or.kr",""
"126"," 굿뉴스월드"," 전홍준"," 의료봉사, 교육"," 케냐, 가나, 코트티부아르"," http://www.gnworld.org",""
"127"," 하나를위한음악재단"," 임미정"," 음악교육, 봉사단"," 미얀마"," http://www.music4one.org",""
"128"," 한국장애인재활협회"," 김인규"," 장애청년 경제자립 지원"," 베트남"," http://www.freeget.net",""
"129"," 한아봉사회"," 조재호"," 지역개발, 주거개선"," 라오스, 미얀마, 베트남, 캄보디아"," http://hanah.or.kr",""
"130"," 한국해비타트"," 윤형주"," 주거 인프라 지원, 식수 위생 개선, 도시 슬럼 및 기후변화 대응 등"," 방글라데시, 베트남, 에티오피아, 인도, 인도네시아 등"," http://www.habitat.or.kr/",""
"131"," 세계가나안운동본부"," 이현희"," 지역개발, 농업교육"," 방글라데시 필리핀 미얀마 등"," http://www.wcm.or.kr",""
"132"," 대진국제자원봉사단"," 김완용"," 교육환경개선, 주거환경개선, 의료환경개선"," 베트남"," http://idiva.or.kr",""
"133"," 들꽃청소년세상"," 김현수"," 청소년지원"," 네팔, 탄자니아,  몽골"," http://www.wahaha.or.kr",""
"134"," 위드헤브론"," 안재평"," 의료지원, 질병예방, 의료인재양성"," 캄보디아"," http://www.withhebron.org",""
"135"," 휴먼아시아"," 서창록"," 인도지원, 난민인권, 소수민족지원"," 인도, 필리핀"," http://humanasia.org",""
"136"," 유엔인권정책센터"," 신혜수"," 인권, 다문화가정, 결혼이주여성 지원"," 베트남,  필리핀, 태국"," https://kocun.org/",""
"137"," 카야 인터내셔널"," 최순태"," 직업기술훈련, 교육"," 미얀마"," http://khayah.org/khayah/",""
"138"," 평화삼천"," 곽동철"," 주거, 교육환경 개선사업"," 베트남, 필리핀, 라오스"," http://peace3000.net/",""
"139"," 태평양아시아협회"," 김일웅"," 청년봉사단 파견사업"," 동남아시아, 인도네시아, 아프리카"," http://www.pas.or.kr/",""
"140"," 따뜻한하루"," 김광일"," 교육, 의료지원, 긴급지원"," 캄보디아, 우크라이나, 터키, 에티오피아, 탄자니아"," https://www.onday.or.kr/wp/",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
